order_item_id,order_id,product_id,quantity,unit_price
1,1,49,1,117.22
2,1,146,1,139.47
3,2,87,1,83.19
4,2,141,2,94.93
5,2,180,1,427.23
6,2,122,2,56.24
7,3,90,3,239.47
8,4,64,2,153.43
9,4,180,1,427.23
10,5,182,1,101.52
11,5,108,1,115.93
12,6,129,2,147.79
13,6,161,2,387.59
14,7,83,1,27.68
15,7,88,1,138.9
16,7,71,1,1455.04
17,8,2,1,40.81
18,9,32,1,271.62
19,10,45,2,1397.19
20,10,192,1,193.47
21,10,33,1,189.01
22,11,41,1,424.0
23,12,186,1,1143.64
24,13,197,2,122.77
25,13,124,1,188.55
26,14,141,1,94.93
27,15,53,1,146.9
28,16,53,1,146.9
29,17,111,1,1353.44
30,17,152,1,1344.36
31,17,190,1,388.11
32,18,19,1,190.53
33,18,7,1,408.53
34,18,72,1,45.77
35,18,181,1,114.88
36,18,179,1,62.32
37,19,195,1,908.54
38,20,96,2,108.5
39,20,171,1,381.67
40,21,150,2,147.89
41,22,52,1,186.85
42,23,51,2,132.14
43,23,135,2,1093.64
44,24,158,1,69.74
45,25,111,2,1353.44
46,25,111,1,1353.44
47,26,140,1,490.62
48,26,76,3,223.04
49,26,104,1,41.16
50,27,86,1,21.48
51,28,108,1,115.93
52,29,165,2,215.84
53,29,92,1,149.45
54,29,41,3,424.0
55,29,156,1,148.3
56,30,60,1,83.92
57,30,199,1,206.92
58,30,172,1,173.01
59,30,131,1,25.47
60,30,128,1,369.7
61,31,91,1,63.51
62,32,143,1,243.28
63,33,81,1,138.71
64,34,162,1,65.8
65,35,96,1,108.5
66,36,199,1,206.92
67,37,154,1,75.04
68,37,102,1,262.6
69,37,188,1,38.35
70,38,51,3,132.14
71,39,148,1,193.1
72,40,113,1,133.78
73,41,126,1,105.71
74,41,14,1,133.96
75,42,140,1,490.62
76,42,130,1,36.61
77,42,186,1,1143.64
78,43,127,1,38.36
79,43,63,1,1005.52
80,44,69,1,247.21
81,44,113,1,133.78
82,44,168,1,132.11
83,44,112,1,138.38
84,44,44,3,918.47
85,45,194,1,134.08
86,45,4,1,185.86
87,45,54,1,230.29
88,45,192,1,193.47
89,46,115,1,174.95
90,47,155,1,711.87
91,48,25,1,132.69
92,48,185,1,127.63
93,49,86,1,21.48
94,50,185,1,127.63
95,51,29,1,271.9
96,51,160,1,148.77
97,52,181,1,114.88
98,52,99,1,63.93
99,53,31,1,50.0
100,54,86,1,21.48
101,54,161,1,387.59
102,55,149,2,138.97
103,55,103,1,183.83
104,56,41,1,424.0
105,56,66,1,410.55
106,57,34,1,149.46
107,57,47,1,142.57
108,58,54,2,230.29
109,58,89,1,209.98
110,58,133,1,82.38
111,59,95,1,156.79
112,59,73,1,174.96
113,60,158,1,69.74
114,60,4,1,185.86
115,61,47,2,142.57
116,62,158,1,69.74
117,63,157,1,193.48
118,63,123,1,115.27
119,63,42,3,43.28
120,63,104,1,41.16
121,63,32,1,271.62
122,64,188,1,38.35
