order_id,user_id,session_id,order_date,total_amount,status
1,1865,3,2024-02-10 00:00:00,256.69,Delivered
2,914,8,2023-10-11 00:00:00,812.76,Shipped
3,1794,19,2023-05-19 00:00:00,718.41,Delivered
4,1770,20,2024-01-08 00:00:00,734.09,Cancelled
5,1923,27,2023-05-09 00:00:00,217.45,Delivered
6,2023,29,2024-02-18 00:00:00,1070.76,Delivered
7,4055,50,2023-06-16 00:00:00,1621.62,Delivered
8,669,57,2023-06-05 00:00:00,40.81,Cancelled
9,1381,60,2022-03-27 00:00:00,271.62,Delivered
10,4543,75,2023-11-30 00:00:00,3176.86,Delivered
11,4843,79,2023-05-23 00:00:00,424.0,Delivered
12,1623,83,2023-09-03 00:00:00,1143.64,Delivered
13,4995,86,2023-07-14 00:00:00,434.09,Delivered
14,3554,93,2024-02-11 00:00:00,94.93,Delivered
15,128,98,2022-10-06 00:00:00,146.9,Delivered
16,2710,100,2023-11-22 00:00:00,146.9,Delivered
17,3236,114,2023-12-18 00:00:00,3085.91,Delivered
18,913,117,2023-01-29 00:00:00,822.03,Delivered
19,1549,122,2023-09-18 00:00:00,908.54,Delivered
20,289,136,2023-10-17 00:00:00,598.67,Delivered
21,3345,153,2023-12-17 00:00:00,295.78,Delivered
22,196,159,2022-12-06 00:00:00,186.85,Delivered
23,290,165,2023-07-09 00:00:00,2451.56,Delivered
24,176,166,2023-10-28 00:00:00,69.74,Delivered
25,4517,194,2023-04-07 00:00:00,4060.32,Delivered
26,1581,200,2023-11-10 00:00:00,1200.9,Delivered
27,3686,201,2024-02-16 00:00:00,21.48,Delivered
28,2795,207,2024-01-29 00:00:00,115.93,Delivered
29,3775,208,2024-02-09 00:00:00,2001.43,Delivered
30,867,209,2023-12-24 00:00:00,859.02,Delivered
31,1723,213,2022-06-10 00:00:00,63.51,Delivered
32,1617,215,2024-02-06 00:00:00,243.28,Delivered
33,621,221,2022-12-02 00:00:00,138.71,Delivered
34,4007,234,2023-11-16 00:00:00,65.8,Delivered
35,2891,236,2023-10-14 00:00:00,108.5,Delivered
36,4547,260,2023-06-15 00:00:00,206.92,Delivered
37,3954,271,2023-08-19 00:00:00,375.99,Delivered
38,2034,276,2023-03-24 00:00:00,396.42,Delivered
39,1081,290,2024-01-09 00:00:00,193.1,Delivered
40,1147,291,2023-01-02 00:00:00,133.78,Delivered
41,1906,301,2023-08-19 00:00:00,239.67,Delivered
42,1310,312,2023-09-16 00:00:00,1670.87,Delivered
43,2741,313,2022-11-20 00:00:00,1043.88,Shipped
44,3217,314,2023-12-31 00:00:00,3406.89,Delivered
45,4193,316,2024-01-22 00:00:00,743.7,Delivered
46,2539,322,2023-02-10 00:00:00,174.95,Delivered
47,2036,327,2022-03-21 00:00:00,711.87,Cancelled
48,2153,335,2023-06-23 00:00:00,260.32,Delivered
49,249,337,2023-12-02 00:00:00,21.48,Delivered
50,16,348,2024-01-23 00:00:00,127.63,Delivered
51,3693,360,2023-11-27 00:00:00,420.67,Cancelled
52,3343,371,2022-08-18 00:00:00,178.81,Delivered
53,1543,373,2023-12-22 00:00:00,50.0,Delivered
54,3177,382,2024-01-30 00:00:00,409.07,Delivered
55,344,384,2023-10-31 00:00:00,461.77,Delivered
56,3144,386,2023-12-18 00:00:00,834.55,Delivered
57,3697,395,2023-09-27 00:00:00,292.03,Delivered
58,1334,402,2022-04-08 00:00:00,752.94,Cancelled
59,47,405,2023-09-20 00:00:00,331.75,Delivered
60,1447,406,2024-02-16 00:00:00,255.6,Delivered
61,549,414,2022-04-15 00:00:00,285.14,Processing
62,1997,426,2023-08-03 00:00:00,69.74,Delivered
63,4073,440,2022-05-31 00:00:00,751.37,Delivered
64,3419,441,2023-05-28 00:00:00,859.03,Delivered
