session_id,user_id,session_start,duration_seconds,is_bounce,device
1,1410,2023-08-22,3518,0,Mobile
2,2882,2023-09-04,2214,0,Desktop
3,1865,2024-02-10,3404,0,Mobile
4,741,2024-01-05,1291,0,Desktop
5,1526,2024-01-19,838,0,Mobile
6,3977,2023-06-10,1390,0,Desktop
7,2962,2023-09-03,700,0,Mobile
8,914,2023-10-11,2393,0,Mobile
9,4147,2023-11-16,3109,0,Mobile
10,1458,2023-06-19,2543,0,Desktop
11,1628,2022-06-10,380,0,Desktop
12,3315,2022-11-26,607,0,Desktop
13,4365,2023-07-27,1635,0,Mobile
14,3156,2024-02-20,3471,0,Tablet
15,2408,2024-02-12,346,0,Mobile
16,1842,2023-12-09,3393,0,Mobile
17,4490,2022-10-29,2744,0,Tablet
18,216,2024-01-19,929,0,Desktop
19,1794,2023-05-19,3594,0,Mobile
20,1770,2024-01-08,60,0,Mobile
21,171,2024-02-06,1989,0,Desktop
22,3396,2023-11-18,2267,0,Tablet
23,1575,2023-12-17,772,0,Desktop
24,4759,2023-11-19,2579,0,Mobile
25,3172,2023-12-31,2904,0,Desktop
26,2982,2023-11-13,1776,0,Mobile
27,1923,2023-05-09,2223,0,Mobile
28,1102,2023-09-02,3532,0,Desktop
29,2023,2024-02-18,2381,0,Mobile
30,4158,2023-11-29,2202,0,Mobile
31,4949,2023-01-12,2959,0,Mobile
32,4539,2023-08-21,1915,0,Mobile
33,436,2023-06-23,2544,0,Mobile
34,4842,2024-02-24,274,0,Tablet
35,1404,2023-07-18,2303,0,Mobile
36,472,2023-12-20,1962,0,Desktop
37,1212,2023-02-04,2803,0,Mobile
38,2262,2023-11-17,1042,0,Desktop
39,226,2024-03-01,2458,0,Mobile
40,1093,2023-09-23,891,0,Desktop
41,2539,2023-11-06,2865,0,Desktop
42,2708,2023-10-05,2344,0,Desktop
43,4162,2023-11-16,600,0,Desktop
44,4808,2023-06-28,3543,0,Mobile
45,4994,2023-01-30,2926,0,Desktop
46,4813,2022-08-26,3182,0,Tablet
47,522,2024-02-04,1704,0,Desktop
48,1595,2023-07-24,2473,0,Desktop
49,1470,2023-10-25,130,0,Desktop
50,4055,2023-06-16,1369,0,Mobile
51,3306,2024-01-06,2881,0,Desktop
52,3174,2024-02-02,1679,0,Mobile
53,3887,2023-02-01,3480,0,Mobile
54,786,2024-01-13,1464,0,Mobile
55,3526,2022-11-17,2056,0,Mobile
56,2135,2024-02-29,831,0,Mobile
57,669,2023-06-05,1860,0,Desktop
58,4292,2023-12-22,93,0,Desktop
59,499,2024-01-31,2806,0,Mobile
60,1381,2022-03-27,2177,0,Mobile
61,2678,2024-02-01,1264,0,Mobile
62,4654,2024-01-28,1545,0,Desktop
63,1413,2023-09-13,2617,0,Desktop
64,1490,2023-10-24,904,0,Tablet
65,795,2024-01-02,2808,0,Desktop
66,4913,2023-10-07,2361,0,Mobile
67,3611,2023-03-09,2088,0,Mobile
68,3647,2022-03-30,2558,0,Mobile
69,4404,2022-10-19,3316,0,Desktop
70,2388,2024-02-17,1439,0,Desktop
71,4835,2023-08-24,695,0,Desktop
72,4077,2023-09-29,2481,0,Mobile
73,2764,2023-11-03,2707,0,Mobile
74,3186,2024-02-28,1844,0,Desktop
75,4543,2023-11-30,1395,0,Mobile
76,1159,2023-11-16,3358,0,Mobile
77,3312,2022-10-29,1477,0,Mobile
78,3936,2023-12-29,3465,0,Desktop
79,4843,2023-05-23,3482,0,Mobile
80,2626,2024-02-14,2316,0,Mobile
81,4358,2023-08-22,1624,0,Desktop
82,1647,2022-10-17,1322,0,Mobile
83,1623,2023-09-03,2575,0,Mobile
84,3565,2023-08-20,347,0,Mobile
85,4025,2022-08-12,1326,0,Mobile
86,4995,2023-07-14,1262,0,Mobile
87,2353,2023-11-22,2811,0,Desktop
88,4322,2022-10-10,780,0,Desktop
89,2516,2024-02-25,2635,0,Mobile
90,393,2024-02-18,124,0,Mobile
91,2482,2023-04-07,781,0,Mobile
92,4406,2022-07-26,3384,0,Desktop
93,3554,2024-02-11,2156,0,Desktop
94,4168,2024-01-12,2799,0,Desktop
95,1758,2022-11-17,1882,0,Desktop
96,1816,2023-12-15,308,0,Desktop
97,4058,2023-12-14,2349,0,Desktop
